"ISSN","COLOUR","DOI","AFFILIATIONS"
"1876-2859","green","10.1016/j.acap.2015.02.005",""
"1876-2859","green","10.1016/j.acap.2015.02.009",""
"1876-2859","green","10.1016/j.acap.2015.03.002",""
"1876-2859","green","10.1016/j.acap.2015.03.005",""
"1876-2859","green","10.1016/j.acap.2015.03.004",""
"1876-2859","green","10.1016/j.acap.2015.01.009",""
"1876-2859","green","10.1016/j.acap.2015.03.006",""
"1876-2859","green","10.1016/j.acap.2015.03.003",""
"1876-2859","green","10.1016/j.acap.2015.02.013",""
"1876-2859","green","10.1016/j.acap.2015.03.001",""
"1876-2859","green","10.1016/j.acap.2014.12.004",""
"1876-2859","green","10.1016/j.acap.2014.12.003",""
"1876-2859","green","10.1016/s1876-2859(15)00085-6",""
"1876-2859","green","10.1016/s1876-2859(15)00086-8",""
"1876-2859","green","10.1016/s1876-2859(15)00087-x",""
"1876-2859","green","10.1016/j.acap.2015.01.006",""
"1876-2859","green","10.1016/j.acap.2014.12.002",""
"1876-2859","green","10.1016/j.acap.2014.11.007",""
"1876-2859","green","10.1016/j.acap.2015.02.014",""
"1876-2859","green","10.1016/j.acap.2015.06.009",""
"1876-2859","green","10.1016/j.acap.2015.06.011",""
"1876-2859","green","10.1016/j.acap.2015.07.008",""
"1876-2859","green","10.1016/j.acap.2015.06.004",""
"1876-2859","green","10.1016/j.acap.2014.10.005",""
"1876-2859","green","10.1016/j.acap.2014.11.002",""
"1876-2859","green","10.1016/j.acap.2015.03.009",""
"1876-2859","green","10.1016/j.acap.2015.02.004",""
"1876-2859","green","10.1016/j.acap.2015.02.011",""
"1876-2859","green","10.1016/j.acap.2015.04.025",""
"1876-2859","green","10.1016/j.acap.2015.04.023",""
"1876-2859","green","10.1016/j.acap.2015.04.024",""
"1876-2859","green","10.1016/j.acap.2015.04.003",""
"1876-2859","green","10.1016/j.acap.2015.04.029",""
"1876-2859","green","10.1016/j.acap.2015.04.031",""
"1876-2859","green","10.1016/j.acap.2015.01.001",""
"1876-2859","green","10.1016/s1876-2859(15)00182-5",""
"1876-2859","green","10.1016/j.acap.2015.04.005",""
"1876-2859","green","10.1016/j.acap.2015.04.004",""
"1876-2859","green","10.1016/j.acap.2015.04.030",""
"1876-2859","green","10.1016/j.acap.2015.04.032",""
"1876-2859","green","10.1016/j.acap.2015.04.033",""
"1876-2859","green","10.1016/j.acap.2015.04.010",""
"1876-2859","green","10.1016/j.acap.2015.04.009",""
"1876-2859","green","10.1016/j.acap.2015.04.013",""
"1876-2859","green","10.1016/j.acap.2015.01.008",""
"1876-2859","green","10.1016/j.acap.2015.04.014",""
"1876-2859","green","10.1016/j.acap.2015.04.034",""
"1876-2859","green","10.1016/j.acap.2015.04.017",""
"1876-2859","green","10.1016/j.acap.2015.04.035",""
"1876-2859","green","10.1016/j.acap.2015.04.015",""
"1876-2859","green","10.1016/j.acap.2015.04.007",""
"1876-2859","green","10.1016/j.acap.2015.04.019",""
"1876-2859","green","10.1016/j.acap.2015.04.021",""
"1876-2859","green","10.1016/j.acap.2015.04.022",""
"1876-2859","green","10.1016/s1876-2859(15)00180-1",""
"1876-2859","green","10.1016/s1876-2859(15)00181-3",""
"1876-2859","green","10.1016/j.acap.2015.04.012",""
"1876-2859","green","10.1016/j.acap.2014.12.006",""
"1876-2859","green","10.1016/j.acap.2015.05.002",""
"1876-2859","green","10.1016/j.acap.2015.04.006",""
"1876-2859","green","10.1016/j.acap.2015.04.008",""
"1876-2859","green","10.1016/j.acap.2015.04.011",""
"1876-2859","green","10.1016/j.acap.2015.04.016",""
"1876-2859","green","10.1016/j.acap.2015.04.018",""
"1876-2859","green","10.1016/j.acap.2015.04.020",""
"1876-2859","green","10.1016/j.acap.2015.04.028",""
"1876-2859","green","10.1016/j.acap.2015.04.027",""
"1876-2859","green","10.1016/j.acap.2015.04.026",""
"1876-2859","green","10.1016/j.acap.2015.07.002",""
"1876-2859","green","10.1016/j.acap.2015.02.003",""
"1876-2859","green","10.1016/j.acap.2015.02.002",""
"1876-2859","green","10.1016/j.acap.2015.05.004",""
"1876-2859","green","10.1016/j.acap.2013.12.008",""
"1876-2859","green","10.1016/j.acap.2013.09.004",""
"1876-2859","green","10.1016/j.acap.2013.10.004",""
"1876-2859","green","10.1016/j.acap.2013.10.005",""
"1876-2859","green","10.1016/j.acap.2013.09.003",""
"1876-2859","green","10.1016/j.acap.2013.06.008",""
"1876-2859","green","10.1016/j.acap.2013.10.002",""
"1876-2859","green","10.1016/j.acap.2013.11.004",""
"1876-2859","green","10.1016/j.acap.2013.09.010",""
"1876-2859","green","10.1016/j.acap.2013.03.015",""
"1876-2859","green","10.1016/j.acap.2013.09.009",""
"1876-2859","green","10.1016/j.acap.2013.11.005",""
"1876-2859","green","10.1016/j.acap.2013.11.001",""
"1876-2859","green","10.1016/j.acap.2012.11.003",""
"1876-2859","green","10.1016/j.acap.2013.10.001",""
"1876-2859","green","10.1016/s1876-2859(13)00384-7",""
"1876-2859","green","10.1016/s1876-2859(13)00385-9",""
"1876-2859","green","10.1016/j.acap.2013.11.006",""
"1876-2859","green","10.1016/j.acap.2013.12.001",""
"1876-2859","green","10.1016/s1876-2859(14)00032-1",""
"1876-2859","green","10.1016/s1876-2859(14)00012-6",""
"1876-2859","green","10.1016/s1876-2859(14)00013-8",""
"1876-2859","green","10.1016/j.acap.2013.12.009",""
"1876-2859","green","10.1016/j.acap.2013.09.002",""
"1876-2859","green","10.1016/j.acap.2013.11.007",""
"1876-2859","green","10.1016/j.acap.2013.09.006",""
"1876-2859","green","10.1016/j.acap.2013.12.005",""
"1876-2859","green","10.1016/j.acap.2013.12.002",""
"1876-2859","green","10.1016/j.acap.2014.01.001",""
"1876-2859","green","10.1016/j.acap.2013.11.003",""
"1876-2859","green","10.1016/j.acap.2013.11.009",""
"1876-2859","green","10.1016/j.acap.2013.11.002",""
"1876-2859","green","10.1016/j.acap.2013.10.003",""
"1876-2859","green","10.1016/j.acap.2013.12.003",""
"1876-2859","green","10.1016/j.acap.2013.11.008",""
"1876-2859","green","10.1016/j.acap.2013.12.006",""
"1876-2859","green","10.1016/j.acap.2014.02.011",""
"1876-2859","green","10.1016/j.acap.2014.02.005",""
"1876-2859","green","10.1016/j.acap.2014.02.009",""
"1876-2859","green","10.1016/j.acap.2015.12.007",""
"1876-2859","green","10.1016/j.acap.2015.12.008",""
"1876-2859","green","10.1016/j.acap.2014.10.002",""
"1876-2859","green","10.1016/j.acap.2014.09.011",""
"1876-2859","green","10.1016/j.acap.2015.06.003",""
"1876-2859","green","10.1016/s1876-2859(15)00106-0",""
"1876-2859","green","10.1016/s1876-2859(15)00107-2",""
"1876-2859","green","10.1016/s1876-2859(15)00122-9",""
"1876-2859","green","10.1016/j.acap.2015.05.008",""
"1876-2859","green","10.1016/j.acap.2014.06.009",""
